Seed;Model_Architecture;Batch_Size;Init_Method;Pruning;Activation;Iterations;Gradient_Loss;PSNR
1;McMahan_CNN;16;kaiming_normal_;;ReLU;500;0.044988155364990234;11.109962
1;McMahan_CNN;16;kaiming_normal_;small;Sigmoid;500;2.980232238769531e-07;11.504738
1;McMahan_CNN;16;kaiming_normal_;;Sigmoid;500;2.980232238769531e-07;11.700308
1;McMahan_CNN;16;kaiming_uniform_;small;ReLU;500;0.04444444179534912;10.553702
1;McMahan_CNN;16;kaiming_uniform_;;ReLU;500;0.046435773372650146;9.295679
1;McMahan_CNN;16;kaiming_uniform_;small;Sigmoid;500;3.5762786865234375e-07;11.735334
1;McMahan_CNN;16;kaiming_uniform_;;Sigmoid;500;3.5762786865234375e-07;11.887849
1;Custom_ResNet;1;xavier_normal_;small;ReLU;500;0.009152710437774658;22.776878
1;Custom_ResNet;1;xavier_normal_;;ReLU;500;0.027195751667022705;14.236761
1;Custom_ResNet;1;xavier_normal_;small;Sigmoid;500;-1.1920928955078125e-07;-0.81557584
1;Custom_ResNet;1;xavier_normal_;;Sigmoid;500;-1.1920928955078125e-07;-0.8155756
1;Custom_ResNet;1;xavier_uniform_;small;ReLU;500;0.008023977279663086;21.700817
1;Custom_ResNet;1;xavier_uniform_;;ReLU;500;0.018137335777282715;17.094948
1;Custom_ResNet;1;xavier_uniform_;small;Sigmoid;500;5.960464477539063e-08;-0.81557584
1;Custom_ResNet;1;xavier_uniform_;;Sigmoid;500;0.0;-0.8155756
1;Custom_ResNet;1;kaiming_normal_;small;ReLU;500;0.0016873478889465332;21.988483
1;Custom_ResNet;1;kaiming_normal_;;ReLU;500;0.0016584396362304688;22.859074
1;Custom_ResNet;1;kaiming_normal_;small;Sigmoid;500;0.0;-0.8155768
1;Custom_ResNet;1;kaiming_normal_;;Sigmoid;500;0.0;-0.8155768
1;Custom_ResNet;1;kaiming_uniform_;small;ReLU;500;0.0009015202522277832;25.536331
1;Custom_ResNet;1;kaiming_uniform_;;ReLU;500;0.0012403130531311035;24.483906
1;Custom_ResNet;1;kaiming_uniform_;small;Sigmoid;500;5.960464477539063e-08;-0.8155768
1;Custom_ResNet;1;kaiming_uniform_;;Sigmoid;500;5.960464477539063e-08;-0.8155768
1;Custom_ResNet;2;xavier_normal_;small;ReLU;500;0.01700824499130249;16.45346
1;Custom_ResNet;2;xavier_normal_;;ReLU;500;0.03455948829650879;11.915925
1;Custom_ResNet;2;xavier_normal_;small;Sigmoid;500;0.0;-1.0110794
1;Custom_ResNet;2;xavier_normal_;;Sigmoid;500;5.960464477539063e-08;-1.0110794
1;Custom_ResNet;2;xavier_uniform_;small;ReLU;500;0.01396489143371582;16.953133
1;Custom_ResNet;2;xavier_uniform_;;ReLU;500;0.02394205331802368;12.943403
1;Custom_ResNet;2;xavier_uniform_;small;Sigmoid;500;1.1920928955078125e-07;-1.0110794
1;Custom_ResNet;2;xavier_uniform_;;Sigmoid;500;0.0;-1.0110791
1;Custom_ResNet;2;kaiming_normal_;small;ReLU;500;0.002347111701965332;19.513607
1;Custom_ResNet;2;kaiming_normal_;;ReLU;500;0.0025442838668823242;18.691133
1;Custom_ResNet;2;kaiming_normal_;small;Sigmoid;500;1.1920928955078125e-07;-1.0110798
1;Custom_ResNet;2;kaiming_normal_;;Sigmoid;500;1.1920928955078125e-07;-1.0110798
1;Custom_ResNet;2;kaiming_uniform_;small;ReLU;500;0.002237975597381592;18.242682
1;Custom_ResNet;2;kaiming_uniform_;;ReLU;500;0.0025787353515625;17.2178
1;Custom_ResNet;2;kaiming_uniform_;small;Sigmoid;500;-1.1920928955078125e-07;-1.0110798
1;Custom_ResNet;2;kaiming_uniform_;;Sigmoid;500;-1.1920928955078125e-07;-1.0110798
1;Custom_ResNet;4;xavier_normal_;small;ReLU;500;0.022502481937408447;10.6402645
1;Custom_ResNet;4;xavier_normal_;;ReLU;500;0.04006218910217285;7.76232
1;Custom_ResNet;4;xavier_normal_;small;Sigmoid;500;-1.1920928955078125e-07;-1.046085
1;Custom_ResNet;4;xavier_normal_;;Sigmoid;500;-1.1920928955078125e-07;-1.046085
1;Custom_ResNet;4;xavier_uniform_;small;ReLU;500;0.01359325647354126;10.437928
1;Custom_ResNet;4;xavier_uniform_;;ReLU;500;0.02097952365875244;10.184991
1;Custom_ResNet;4;xavier_uniform_;small;Sigmoid;500;-1.1920928955078125e-07;-1.046085
1;Custom_ResNet;4;xavier_uniform_;;Sigmoid;500;0.0;-1.0460849
1;Custom_ResNet;4;kaiming_normal_;small;ReLU;500;0.0029855966567993164;12.90802
1;Custom_ResNet;4;kaiming_normal_;;ReLU;500;0.003655076026916504;13.507482
1;Custom_ResNet;4;kaiming_normal_;small;Sigmoid;500;5.960464477539063e-08;-1.046085
1;Custom_ResNet;4;kaiming_normal_;;Sigmoid;500;5.960464477539063e-08;-1.046085
1;Custom_ResNet;4;kaiming_uniform_;small;Sigmoid;500;0.0;-1.046085
1;Custom_ResNet;4;kaiming_uniform_;;Sigmoid;500;0.0;-1.046085
1;Custom_ResNet;8;xavier_normal_;small;ReLU;500;0.03409773111343384;10.487616
1;Custom_ResNet;8;xavier_normal_;;ReLU;500;0.0655871033668518;6.7376275
1;Custom_ResNet;8;xavier_normal_;small;Sigmoid;500;0.0;-0.9816962
1;Custom_ResNet;8;xavier_normal_;;Sigmoid;500;0.0;-0.9816961
1;Custom_ResNet;8;xavier_uniform_;small;ReLU;500;0.03127765655517578;8.920389
1;Custom_ResNet;8;xavier_uniform_;;ReLU;500;0.04195523262023926;7.956998
1;Custom_ResNet;8;xavier_uniform_;small;Sigmoid;500;0.0;-0.9816963
1;Custom_ResNet;8;xavier_uniform_;;Sigmoid;500;-1.1920928955078125e-07;-0.9816963
